98204|95|180
97526|295|489
62568|34|59
10520|50|113
49423|275|313
48035|147|188
20886|67|77
60611|2419|3656
13850|168|214
46040|11|23
52807|209|255
24112|150|163
78751|97|211
77450|226|377
52761|98|128
33321|262|217
48034|348|325
60450|105|144
37375|12|15
85392|125|145
71115|99|107
55402|108|403
19008|145|192
83706|414|420
29204|225|386
31405|471|498
67205|105|157
77047|99|95
52242|1851|1660
24016|181|338
44139|108|180
75251|151|145
85213|91|80
77304|272|308
10021|2435|2349
87106|768|1231
33621|66|56
31406|307|395
43026|216|382
93636|80|204
64131|152|156
70570|185|253
95060|435|971
76021|157|182
33334|185|185
55362|69|94
68310|69|114
44622|127|158
28078|244|492
67211|75|111
15857|69|91
95076|268|466
61326|5|3
46140|98|156
10463|306|537
02906|449|801
03110|176|384
98057|157|346
94518|97|185
10605|246|561
20121|80|127
11374|369|752
63129|89|128
90815|198|271
96819|411|548
40359|14|24
12571|42|82
90232|358|682
97006|218|322
53545|97|173
08009|67|111
44406|109|149
97701|731|1159
49525|619|510
42066|73|111
75042|205|214
81005|84|69
33174|132|155
30126|37|64
11746|285|676
46278|314|378
07024|242|206
06052|242|285
60645|102|196
78759|486|762
77024|535|532
07094|98|126
46825|275|353
80301|243|483
06030|664|669
63376|295|449
51301|117|133
06108|188|230
28327|12|23
79915|76|99
33308|585|387
23150|7|9
85364|431|438
11779|141|381
94534|123|226
07927|66|88
94566|166|267
71449|28|56
45255|162|230
38583|54|60
46815|112|123
65453|14|18
14424|245|503
40353|88|192
43212|237|267
16505|127|158
32610|1615|1389
07840|171|186
33716|68|102
14701|241|467
90806|561|749
92108|516|1246
29412|114|247
43215|557|985
92120|914|977
83617|44|33
95630|349|464
78419|33|25
45502|34|64
08077|69|83
60194|148|185
79903|84|64
44278|62|159
65265|77|102
27514|645|1267
72601|170|303
08043|500|587
37205|392|450
44145|386|536
48116|162|286
47710|284|298
44067|60|75
60640|439|759
77025|261|361
75835|27|13
30067|177|376
91307|221|182
95831|133|147
75235|860|1889
03246|215|421
14621|589|964
66441|70|130
70065|207|212
16801|280|315
93215|108|124
44122|658|1104
38671|180|232
57105|967|1187
20678|148|255
08080|202|264
44452|21|10
63552|32|39
70006|497|361
95032|339|439
13224|37|99
12308|200|247
07054|177|233
95403|495|775
37814|219|273
03076|13|32
95453|109|142
94588|285|465
08016|91|431
40324|127|171
15108|135|276
14092|73|93
75104|91|160
30236|186|333
37013|91|153
01609|161|273
76043|20|12
92648|247|339
60031|259|319
92376|149|331
06040|351|652
85048|140|233
19104|3111|4287
68803|246|449
97128|290|520
94040|450|599
92780|381|603
45503|132|146
55092|57|93
32561|95|93
11001|89|234
90278|67|158
73018|90|159
35216|201|260
38804|136|419
02050|56|119
11368|136|293
79707|67|71
03756|996|973
92064|234|285
33774|123|132
10011|767|1363
07630|70|66
98106|58|178
45036|102|371
40143|17|35
08232|41|38
43560|181|283
46254|156|200
43230|220|385
34731|19|18
78754|22|128
40601|182|238
32796|137|137
34109|192|226
97301|708|1122
17870|62|70
67432|24|30
22031|446|718
37917|636|1807
02540|196|251
22192|194|375
19145|155|172
17109|298|369
63901|299|435
42041|11|6
25401|296|404
10111|27|14
46635|119|113
66067|64|94
64506|288|319
74571|73|73
34102|398|359
17050|169|261
45875|29|81
34103|160|167
39553|73|289
16507|171|289
71346|5|11
91754|269|256
60005|439|528
32246|79|124
21078|86|142
84094|205|133
18103|935|1013
33705|184|260
40769|31|41
38201|56|57
48334|342|397
68505|85|90
63139|68|141
19067|241|307
08244|180|141
70403|246|379
45263|2|1
52002|130|130
48038|470|763
43551|146|250
30165|440|429
89101|213|322
94404|90|120
18045|169|184
64014|113|119
30076|334|497
85016|845|1450
43204|70|162
91401|155|317
36460|34|40
75601|301|241
77389|29|38
23114|93|171
25901|40|59
73013|324|536
24153|565|562
65270|67|76
94102|722|1193
70601|456|565
19087|200|395
78731|466|710
61234|4|2
73096|53|70
85027|239|358
10457|863|1145
84107|752|695
70503|419|527
78412|163|112
90403|268|402
70438|30|59
14094|155|301
02740|353|816
95065|229|191
